Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Bahrain Grand Prix\bahrain_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media          IC_95%_R2
  15%    27         29-34        35-36         284         81  0.3118  0.2261    0.9398
   5%    49         51-52        53-53         118         64  0.3119  0.2369    0.9212
  12%    22         24-28        29-30         334        118  0.3125  0.2364    0.9500
  40%    34         36-52        53-57         920        304  0.3127  0.2417    0.9316
  30%    35         37-48        49-52         658        220  0.3127  0.2367    0.9222
  12%    49         51-55        56-57         312        110  0.3133  0.2542    0.9395
  15%    25         27-32        33-34         334         73  0.3135  0.2477    0.9460
  40%    33         35-51        52-56         894        327  0.3135  0.2485    0.9292
  15%    48         50-55        56-57         363        110  0.3140  0.2537    0.9392
  10%     5          7-10        11-12         268        104  0.3140  0.2403    0.9561
  15%     2           4-9        10-11         419        113  0.3141  0.2398    0.9527
  15%     3          5-10        11-12         404        104  0.3148  0.2329    0.9559
  25%    25         27-37        38-40         535        188  0.3154  0.2502    0.9349
  12%    12         14-18        19-20         229        133  0.3163  0.2550    0.8948
  15%     1           3-8         9-10         424        126  0.3165  0.2509    0.9467
  40%    15         17-33        34-38        1037        225  0.3169  0.2428    0.9367
  12%    39         41-45        46-47         279         96  0.3173  0.2431    0.9298
  15%    11         13-18        19-20         275        133  0.3181  0.2582    0.8936
  30%     3          5-16        17-20         679        237  0.3183  0.2438    0.9183
  20%     9         11-18        19-21         379        203  0.3187  0.2607    0.8994
  35%    19         21-35        36-39         875        218  0.3194  0.2467    0.9344
  20%     8         10-17        18-20         383        188  0.3198  0.2530    0.8907
  25%    22         24-34        35-37         618        128  0.3202  0.2327    0.9368
  12%    28         30-34        35-36         224         81  0.3203  0.2273    0.9365
  10%    46         48-51        52-53         203        129  0.3205  0.2374    0.9221
  12%    26         28-32        33-34         269         73  0.3205  0.2547    0.9436
  12%    29         31-35        36-37         205         89  0.3209  0.2382    0.9381
   5%     3           5-6          7-7         136         71  0.3217  0.2423    0.9304
  10%    47         49-52        53-54         220        127  0.3222  0.2429    0.9162
  20%    43         45-52        53-55         413        194  0.3222  0.2314    0.9195
  35%    34         36-50        51-54         802        245  0.3229  0.2466    0.9192
  40%    32         34-50        51-55         877        312  0.3236  0.2495    0.9205
  35%    18         20-34        35-38         906        189  0.3245  0.2461    0.9309
  10%    28         30-33        34-35         188         75  0.3247  0.2542    0.9363
  30%    21         23-34        35-38         693        189  0.3250  0.2464    0.9307
  12%    21         23-27        28-29         351        118  0.3251  0.2491    0.9375
  35%    33         35-49        50-53         790        233  0.3255  0.2462    0.9170
  25%    26         28-38        39-41         531        180  0.3256  0.2487    0.9365
  10%    27         29-32        33-34         211         73  0.3257  0.2558    0.9418
  15%    22         24-29        30-31         394        114  0.3258  0.2517    0.9468
  15%    28         30-35        36-37         263         89  0.3259  0.2452    0.9362
  10%    24         26-29        30-31         247        114  0.3267  0.2540    0.9465
  12%     3           5-9        10-11         345        113  0.3275  0.2528    0.9486
  15%     7          9-14        15-16         315         86  0.3282  0.2506    0.9527
  25%    40         42-52        53-55         590        194  0.3290  0.2314    0.9160
  10%    50         52-55        56-57         259        110  0.3290  0.2655    0.9333
  12%    23         25-29        30-31         318        114  0.3298  0.2588    0.9454
  30%    38         40-51        52-55         637        259  0.3300  0.2528    0.9176
  35%    20         22-36        37-40         847        235  0.3316  0.2517    0.9280
  10%    29         31-34        35-36         166         81  0.3323  0.2375    0.9316
  12%     4          6-10        11-12         337        104  0.3341  0.2436    0.9503
  25%    39         41-51        52-54         578        192  0.3345  0.2552    0.9137
  25%    42         44-54        55-57         598        177  0.3354  0.2641    0.9264
  20%    30         32-39        40-42         367        169  0.3360  0.2601    0.9314
  30%     2          4-15        16-19         707        213  0.3381  0.2619    0.9262
   5%    41         43-44        45-45         120         49  0.3383  0.2654    0.9074
  30%    22         24-35        36-39         657        218  0.3387  0.2543    0.9262
  25%     4          6-16        17-19         612        167  0.3394  0.2639    0.9144
   5%    44         46-47        48-48          96         48  0.3400  0.2500    0.8861
  25%     2          4-14        15-17         667        135  0.3404  0.2585    0.9491
  12%     5          7-11        12-13         322         96  0.3422  0.2592    0.9517
  20%     7          9-16        17-19         401        167  0.3426  0.2675    0.9127
  20%     3          5-12        13-15         508        125  0.3442  0.2593    0.9516
  30%    40         42-53        54-57         654        240  0.3462  0.2636    0.9178
  25%    41         43-53        54-56         597        198  0.3464  0.2534    0.9141
  25%    23         25-35        36-38         581        150  0.3490  0.2693    0.9198
  15%    29         31-36        37-38         247        108  0.3492  0.2629    0.9129
  35%    37         39-53        54-57         834        240  0.3504  0.2636    0.9157
  12%    13         15-19        20-21         253        140  0.3511  0.2813    0.8821
  20%    25         27-34        35-37         407        128  0.3513  0.2525    0.9239
  25%     3          5-15        16-18         633        150  0.3520  0.2661    0.9308
   5%     4           6-7          8-8         140         71  0.3529  0.2929    0.9126
  15%    10         12-17        18-19         270        118  0.3532  0.2751    0.8638
  20%    28         30-37        38-40         352        188  0.3544  0.2713    0.9178
   5%    22         24-25        26-26         147         64  0.3558  0.2678    0.9189
  10%    32         34-37        38-39         164        129  0.3558  0.2803    0.9143
  20%     5          7-14        15-17         457        135  0.3559  0.2693    0.9444
  20%    44         46-53        54-56         428        198  0.3567  0.2618    0.9089
  15%     5          7-12        13-14         372         85  0.3574  0.2684    0.9468
   5%    40         42-43        44-44         119         58  0.3575  0.2741    0.9063
  30%     1          3-14        15-18         739        190  0.3578  0.2770    0.9335
  30%    36         38-49        50-53         662        233  0.3581  0.2656    0.8995
  10%    40         42-45        46-47         226         96  0.3589  0.2760    0.9102
  12%     8         10-14        15-16         248         86  0.3589  0.2818    0.9434
  30%    23         25-36        37-40         623        235  0.3595  0.2704    0.9154
  10%    13         15-18        19-20         190        133  0.3599  0.2815    0.8638
  10%    31         33-36        37-38         154        108  0.3621  0.2778    0.9063
  12%     6          8-12        13-14         301         85  0.3635  0.2765    0.9450
  12%    31         33-37        38-39         201        129  0.3640  0.2808    0.9103
  20%     6          8-15        16-18         426        150  0.3654  0.2783    0.9254
   5%    25         27-28        29-29         123         60  0.3698  0.3052    0.9272
   5%    39         41-42        43-43         110         62  0.3705  0.2597    0.9252
  15%    30         32-37        38-39         238        129  0.3710  0.2834    0.9068
  10%     7          9-12        13-14         230         85  0.3712  0.2855    0.9427
  10%    36         38-41        42-43         241        119  0.3714  0.2850    0.9190
  12%    33         35-39        40-41         257        112  0.3742  0.2882    0.9169
  25%    37         39-49        50-52         601        169  0.3758  0.2766    0.8904
  25%    24         26-36        37-39         552        176  0.3762  0.2789    0.9051
  12%    47         49-53        54-55         284        130  0.3766  0.2668    0.8907
  12%    10         12-16        17-18         221        104  0.3770  0.3027    0.9102
  15%     4          6-11        12-13         391         96  0.3800  0.2892    0.9405
  15%    46         48-53        54-55         332        130  0.3810  0.2678    0.8881
  12%    30         32-36        37-38         191        108  0.3819  0.2825    0.8958
  15%     9         11-16        17-18         275        104  0.3822  0.3037    0.9078
  25%     1          3-13        14-16         700        125  0.3835  0.3052    0.9368
   5%    46         48-49        50-50          99         51  0.3836  0.2936    0.8763
   5%    36         38-39        40-40         129         59  0.3838  0.2875    0.9093
   5%    29         31-32        33-33          93         37  0.3842  0.2766    0.9185
  10%    38         40-43        44-45         231        107  0.3849  0.3162    0.8872
  10%     8         10-13        14-15         209         79  0.3860  0.2944    0.9364
  20%    27         29-36        37-39         365        176  0.3870  0.2879    0.8995
  20%     4          6-13        14-16         487        125  0.3887  0.3065    0.9350
  30%    37         39-50        51-54         652        245  0.3892  0.2912    0.8826
   5%    53         55-56        57-57         135         42  0.3906  0.3323    0.9109
  20%    26         28-35        36-38         381        150  0.3912  0.2875    0.8992
  10%    37         39-42        43-44         237        120  0.3915  0.2891    0.9055
   5%    31         33-34        35-35          73         39  0.3916  0.2913    0.8969
  15%     6          8-13        14-15         347         79  0.3948  0.3086    0.9335
  12%    11         13-17        18-19         220        118  0.3951  0.3157    0.8295
  10%    48         50-53        54-55         233        130  0.3954  0.2665    0.8795
  20%    29         31-38        39-41         355        180  0.3967  0.2968    0.9058
  10%    30         32-35        36-37         149         89  0.3967  0.2822    0.9054
  20%    40         42-49        50-52         421        169  0.3986  0.2804    0.8768
  10%     9         11-14        15-16         189         86  0.4015  0.3091    0.9292
   5%    42         44-45        46-46         107         48  0.4033  0.3150    0.8915
  10%    11         13-16        17-18         171        104  0.4039  0.3250    0.8970
  25%    38         40-50        51-53         584        182  0.4055  0.2990    0.8733
  12%     7          9-13        14-15         276         79  0.4055  0.3221    0.9298
  20%     1          3-10        11-13         550        150  0.4059  0.3181    0.9287
  15%    32         34-39        40-41         293        112  0.4071  0.3133    0.9017
  15%     8         10-15        16-17         288         95  0.4099  0.3158    0.9251
  20%     2          4-11        12-14         532        135  0.4131  0.3162    0.9304
  10%    34         36-39        40-41         218        112  0.4198  0.3197    0.8955
