Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Italian Grand Prix\italian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media      IC_95%_RMSE  MAE_Media       IC_95%_MAE  R2_Media        IC_95%_R2
   5%     3     49      0.5782 [0.4326, 0.7238]     0.4307  [0.335, 0.5264]    0.7214 [0.5211, 0.9217]
  40%    26         28-43        44-47         963        226 0.2992 0.2364  0.9754
  35%    28         30-43        44-47         827        226 0.2995 0.2370  0.9754
  30%    34         36-47        48-50         689        131 0.2999 0.2317  0.9779
  15%     7          9-14        15-16         377        122 0.3005 0.2347  0.9644
  12%     9         11-14        15-16         235        122 0.3013 0.2362  0.9642
  20%    34         36-43        44-45         463        122 0.3014 0.2407  0.9743
  20%     5          7-14        15-16         523        122 0.3016 0.2399  0.9641
  30%     8         10-21        22-24         715        193 0.3017 0.2382  0.9647
  15%     6          8-13        14-15         387        126 0.3021 0.2465  0.9635
  25%    36         38-47        48-50         566        131 0.3022 0.2311  0.9776
  30%     1          3-14        15-17         780        184 0.3023 0.2421  0.9635
  20%    41         43-50        51-52         415         71 0.3024 0.2414  0.9639
  20%     3          5-12        13-14         534        123 0.3032 0.2465  0.9610
  25%     8         10-19        20-22         609        170 0.3033 0.2354  0.9653
  15%    40         42-47        48-49         346         86 0.3033 0.2284  0.9769
  25%     1          3-12        13-15         657        185 0.3036 0.2441  0.9621
  35%    27         29-42        43-46         839        240 0.3041 0.2432  0.9735
  15%    35         37-42        43-44         340        117 0.3050 0.2382  0.9714
  20%    30         32-39        40-41         471        107 0.3051 0.2308  0.9656
  60%    21         23-46        47-53        1470        270 0.3052 0.2317  0.9739
  30%    30         32-43        44-46         698        182 0.3055 0.2464  0.9740
  10%    37         39-42        43-43         226         58 0.3064 0.2384  0.9703
  35%    32         34-47        48-51         807        170 0.3065 0.2384  0.9762
  12%     8         10-13        14-15         241        126 0.3070 0.2472  0.9623
  40%    30         32-47        48-51         924        170 0.3075 0.2366  0.9760
  20%    38         40-47        48-49         453         86 0.3075 0.2335  0.9762
  40%     4          6-21        22-25        1000        258 0.3075 0.2455  0.9626
  25%    32         34-43        44-46         581        182 0.3076 0.2488  0.9737
  12%    22         24-27        28-29         260        136 0.3078 0.2448  0.9647
  60%    20         22-45        46-52        1474        306 0.3081 0.2376  0.9747
   5%    35         37-38        39-39         114         57 0.3084 0.2276  0.9626
  10%     8         10-13        14-14         241         64 0.3084 0.2461  0.9609
  15%     5          7-12        13-14         400        123 0.3089 0.2486  0.9595
  10%    16         18-21        22-22         226         64 0.3103 0.2178  0.9631
  25%    10         12-21        22-24         580        193 0.3108 0.2416  0.9626
   5%    30         32-33        34-34         117         60 0.3125 0.2433  0.9664
  10%    30         32-35        36-36         235         65 0.3125 0.2500  0.9701
  40%     1          3-18        19-22        1026        228 0.3130 0.2502  0.9616
  12%    10         12-15        16-17         232        122 0.3153 0.2462  0.9596
  15%    33         35-40        41-42         348        115 0.3158 0.2355  0.9675
  12%     2           4-7          8-9         274        146 0.3160 0.2415  0.9467
  10%    40         42-45        46-46         242         60 0.3162 0.2573  0.9731
  35%    34         36-49        50-53         775        140 0.3163 0.2494  0.9687
  35%     3          5-18        19-22         903        228 0.3165 0.2493  0.9607
   5%    36         38-39        40-40         113         54 0.3167 0.2469  0.9605
  60%    18         20-43        44-50        1458        357 0.3169 0.2464  0.9738
  40%    32         34-49        50-53         893        140 0.3171 0.2509  0.9685
  12%     4           6-9        10-11         285        135 0.3183 0.2454  0.9531
  30%     6          8-19        20-22         755        170 0.3192 0.2517  0.9616
  25%    39         41-50        51-53         530         95 0.3192 0.2537  0.9552
  30%    37         39-50        51-53         641         95 0.3201 0.2500  0.9549
  10%    22         24-27        28-28         260         66 0.3222 0.2640  0.9609
  35%     4          6-19        20-23         894        235 0.3229 0.2582  0.9609
  15%    32         34-39        40-41         354        107 0.3236 0.2419  0.9613
  15%    43         45-50        51-52         298         71 0.3237 0.2606  0.9586
  12%    16         18-21        22-23         226        129 0.3240 0.2355  0.9606
  40%     2          4-19        20-23        1029        235 0.3245 0.2635  0.9605
  20%    35         37-44        45-46         457        123 0.3258 0.2710  0.9714
  10%    10         12-15        16-16         232         60 0.3259 0.2599  0.9574
  35%    33         35-48        49-52         792        157 0.3260 0.2498  0.9709
  35%     6          8-21        22-25         861        258 0.3263 0.2560  0.9579
  10%    39         41-44        45-45         232         63 0.3265 0.2657  0.9711
  60%    19         21-44        45-51        1465        337 0.3266 0.2509  0.9726
  10%    12         14-17        18-18         248         62 0.3272 0.2688  0.9580
  30%    35         37-48        49-51         669        125 0.3273 0.2494  0.9732
  12%    14         16-19        20-21         242        106 0.3282 0.2552  0.9597
  30%     7          9-20        21-23         733        183 0.3284 0.2599  0.9605
  15%    41         43-48        49-50         329         86 0.3287 0.2450  0.9744
  12%    35         37-40        41-42         225        115 0.3298 0.2487  0.9645
  40%     3          5-20        21-24        1013        247 0.3310 0.2704  0.9586
   5%    32         34-35        36-36         118         65 0.3315 0.2675  0.9664
  15%    14         16-21        22-23         348        129 0.3322 0.2503  0.9586
   5%    20         22-23        24-24         129         64 0.3331 0.2530  0.9538
  10%    15         17-20        21-21         234         54 0.3336 0.2607  0.9614
   5%    11         13-14        15-15         123         62 0.3339 0.2514  0.9567
  40%    31         33-48        49-52         908        157 0.3342 0.2563  0.9695
  12%    42         44-47        48-49         226         86 0.3352 0.2518  0.9717
   5%     5           7-8          9-9         146         72 0.3353 0.2603  0.9442
  10%    38         40-43        44-44         227         59 0.3355 0.2648  0.9663
  15%    37         39-44        45-46         343        123 0.3367 0.2788  0.9695
   5%     3           5-6          7-7         134         72 0.3372 0.2698  0.9309
  25%     9         11-20        21-23         591        183 0.3373 0.2587  0.9583
  15%    10         12-17        18-19         354        120 0.3384 0.2585  0.9529
  12%    34         36-39        40-41         236        107 0.3405 0.2561  0.9572
  12%    39         41-44        45-46         232        123 0.3408 0.2736  0.9687
   5%    23         25-26        27-27         131         65 0.3409 0.2756  0.9524
  15%    36         38-43        44-45         340        122 0.3412 0.2778  0.9670
   5%    26         28-29        30-30         136         67 0.3418 0.2671  0.9584
  12%    37         39-42        43-44         226        117 0.3421 0.2691  0.9640
  12%     6          8-11        12-13         281        106 0.3421 0.2760  0.9442
  20%    12         14-21        22-23         474        129 0.3427 0.2540  0.9559
   5%    21         23-24        25-25         129         65 0.3442 0.2593  0.9500
   5%    34         36-37        38-38         123         56 0.3447 0.2705  0.9563
   5%    13         15-16        17-17         122         62 0.3466 0.2752  0.9505
   5%     6           8-9        10-10         146         70 0.3478 0.2882  0.9408
  20%    11         13-20        21-22         479        118 0.3486 0.2625  0.9556
  35%     5          7-20        21-24         879        247 0.3498 0.2811  0.9538
  12%    12         14-17        18-19         248        120 0.3512 0.2697  0.9493
  12%     7          9-12        13-14         254        123 0.3516 0.2821  0.9476
   5%    47         49-50        51-51          86         39 0.3555 0.2537  0.9627
  12%    38         40-43        44-45         227        122 0.3555 0.2887  0.9642
  12%    45         47-50        51-52         175         71 0.3597 0.2948  0.9489
   5%    14         16-17        18-18         122         62 0.3626 0.2889  0.9485
   5%    29         31-32        33-33         123         56 0.3628 0.2956  0.9551
   5%    40         42-43        44-44         120         59 0.3636 0.2891  0.9604
   5%    17         19-20        21-21         110         54 0.3650 0.2931  0.9538
   5%    31         33-34        35-35         116         58 0.3659 0.2738  0.9565
   5%    37         39-40        41-41         111         53 0.3665 0.2919  0.9533
  20%    42         44-51        52-53         396         56 0.3669 0.2968  0.8716
  12%    15         17-20        21-22         234        118 0.3669 0.2748  0.9509
  10%    35         37-40        41-41         225         53 0.3694 0.2756  0.9526
   5%    10         12-13        14-14         106         64 0.3696 0.2878  0.9438
  15%    44         46-51        52-53         274         56 0.3746 0.3062  0.8661
   5%    19         21-22        23-23         118         65 0.3787 0.3045  0.9472
  10%    47         49-52        53-53         157         24 0.3789 0.3082  0.8714
  15%    13         15-20        21-22         356        118 0.3798 0.2811  0.9474
   5%    39         41-42        43-43         115         58 0.3804 0.2855  0.9541
  25%    37         39-48        49-51         555        125 0.3900 0.2921  0.9620
  10%    43         45-48        49-49         212         41 0.3903 0.2815  0.9637
   5%    25         27-28        29-29         131         70 0.3932 0.2980  0.9429
  10%     7          9-12        13-13         254         59 0.3934 0.3137  0.9317
   5%    41         43-44        45-45         117         63 0.4088 0.3178  0.9547
   5%    42         44-45        46-46         122         60 0.4168 0.3656  0.9533
  12%    25         27-30        31-32         268        123 0.4171 0.3362  0.9412
   5%    24         26-27        28-28         131         66 0.4216 0.3399  0.9331
