Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\Saudi Arabian Grand Prix\saudi_arabian_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media         IC_95%_RMSE  MAE_Media           IC_95%_MAE      R2_Media                    IC_95%_R2
  25%    37         39-47        48-50         524        156    0.4015    0.3115  8.149000e-01
  20%    39         41-48        49-50         481        100    0.4052    0.3245  8.179000e-01
  10%    12         14-17        18-18         217         29    0.4056    0.3138  7.867000e-01
  15%     3           5-9        10-11         275        107    0.4064    0.3280  8.379000e-01
  12%    10         12-15        16-17         261         89    0.4082    0.3028  8.017000e-01
  10%    13         15-18        19-19         181         30    0.4114    0.3326  7.168000e-01
  20%    12         14-21        22-23         332         87    0.4139    0.3255  8.988000e-01
  40%     6          8-22        23-26         705        247    0.4209    0.3342  8.780000e-01
  25%    14         16-24        25-27         357        196    0.4217    0.3308  8.777000e-01
  15%    11         13-17        18-19         281         59    0.4239    0.3378  7.370000e-01
  15%    18         20-24        25-26         209        129    0.4248    0.3284  8.815000e-01
   5%    13         15-15        16-16          63         50    0.4263    0.3578  7.735000e-01
  10%    21         23-26        27-27         247         67    0.4274    0.3483  8.612000e-01
  10%    19         21-24        25-25         179         63    0.4282    0.3246  8.819000e-01
  25%    11         13-21        22-24         396        153    0.4283    0.3443  8.785000e-01
  20%    15         17-24        25-26         307        129    0.4297    0.3270  8.788000e-01
  12%    19         21-24        25-26         179        129    0.4300    0.3307  8.786000e-01
  15%    19         21-25        26-27         242        133    0.4301    0.3326  8.675000e-01
  10%     1           3-6          7-7         211         52    0.4316    0.3326  8.453000e-01
  10%    11         13-16        17-17         242         39    0.4319    0.3113  7.871000e-01
  12%     1           3-6          7-8         211        103    0.4330    0.3509  8.596000e-01
  35%     8         10-22        23-26         607        247    0.4330    0.3447  8.709000e-01
  30%     9         11-21        22-24         517        153    0.4336    0.3556  8.755000e-01
  12%    43         45-48        49-50         243        100    0.4353    0.3364  7.898000e-01
  40%     3          5-19        20-23         791        143    0.4357    0.3390  8.654000e-01
  40%     4          6-20        21-24         765        179    0.4373    0.3529  8.686000e-01
  12%    12         14-17        18-19         217         59    0.4401    0.3518  7.164000e-01
  12%     4           6-9        10-11         219        107    0.4403    0.3474  8.097000e-01
  35%     5          7-19        20-23         666        143    0.4412    0.3523  8.620000e-01
  35%     7          9-21        22-25         619        216    0.4429    0.3610  8.713000e-01
  25%    10         12-20        21-23         439        113    0.4429    0.3596  8.748000e-01
  15%     2           4-8         9-10         279        102    0.4442    0.3530  8.276000e-01
  30%     8         10-20        21-23         546        113    0.4454    0.3618  8.734000e-01
  40%     5          7-21        22-25         722        216    0.4489    0.3643  8.677000e-01
  10%    38         40-43        44-44         225         62    0.4489    0.3125  7.342000e-01
  10%     4           6-9        10-10         219         55    0.4497    0.3554  8.014000e-01
  30%    10         12-22        23-25         500        181    0.4550    0.3598  8.553000e-01
  40%     7          9-23        24-27         706        262    0.4564    0.3504  8.526000e-01
   5%    31         33-33        34-34          68         62    0.4594    0.3628  7.866000e-01
  35%     6          8-20        21-24         644        179    0.4619    0.3759  8.534000e-01
  12%     2           4-7          8-9         228         98    0.4633    0.3518  8.452000e-01
  35%     9         11-23        24-27         604        262    0.4648    0.3593  8.471000e-01
  12%    20         22-25        26-27         216        133    0.4664    0.3628  8.442000e-01
  25%    12         14-22        23-25         367        181    0.4677    0.3584  8.472000e-01
  12%     3           5-8         9-10         228        102    0.4679    0.3790  8.087000e-01
  20%     1          3-10        11-12         416        121    0.4710    0.3799  7.878000e-01
  10%    20         22-25        26-26         216         66    0.4716    0.3523  8.495000e-01
  15%    16         18-22        23-24         150        118    0.4776    0.3708  8.330000e-01
  10%     5          7-10        11-11         205         52    0.4776    0.3888  7.736000e-01
  10%     3           5-8          9-9         228         47    0.4802    0.3881  8.215000e-01
   5%    26         28-28        29-29          67         68    0.4820    0.3581  7.858000e-01
  20%    13         15-22        23-24         302        118    0.4883    0.3697  8.255000e-01
   5%    17         19-19        20-20          30         30    0.4887    0.3909  7.095000e-01
  10%    44         46-49        50-50         234         44    0.4891    0.4015  7.599000e-01
   5%    32         34-34        35-35          62         62    0.4915    0.3918  7.015000e-01
