Carregando dados limpos de:
c:\Users\mpoli\Desktop\UFOP\9 PERIODO\TCC\Scripts\ModelData\United States Grand Prix\united_states_grand_prix_cleaned_data.csv

--- COMPARAÇÃO LINEAR REGRESSION WALK FORWARD (WF) ---
Ratio  Laps  Folds  RMSE_Media              IC_95%_RMSE  MAE_Media               IC_95%_MAE      R2_Media                         IC_95%_R2
  12%    24         26-29        30-31         224        117      0.3902      0.3121  9.345000e-01
  12%    30         32-35        36-37         222        114      0.3912      0.2920  9.443000e-01
  10%    32         34-37        38-38         220         60      0.3913      0.3227  9.372000e-01
   5%    33         35-36        37-37         108         59      0.3914      0.3191  9.440000e-01
  10%    16         18-21        22-22         178         46      0.3918      0.3094  8.657000e-01
  25%    38         40-50        51-53         698        183      0.3918      0.2980  9.335000e-01
  40%     5          7-23        24-28         927        267      0.3920      0.2852  9.195000e-01
  10%    30         32-35        36-36         222         55      0.3921      0.2984  9.442000e-01
  10%    36         38-41        42-42         235         62      0.3930      0.3009  9.374000e-01
  10%    12         14-17        18-18         257         44      0.3932      0.3226  9.094000e-01
  15%    10         12-17        18-19         384         89      0.3936      0.3189  9.012000e-01
   5%     4           6-7          8-8         105         51      0.3942      0.3295  9.295000e-01
  10%    50         52-55        56-56         234         48      0.3944      0.3121  9.496000e-01
  30%     9         11-22        23-26         665        201      0.3946      0.2768  8.911000e-01
  30%     7          9-20        21-24         693        189      0.3957      0.2885  8.733000e-01
  25%    14         16-26        27-29         554        172      0.3963      0.3158  9.330000e-01
  25%    40         42-52        53-55         705        174      0.3966      0.3180  9.467000e-01
  20%    17         19-26        27-29         381        172      0.3966      0.3118  9.329000e-01
  15%     5          7-12        13-14         333        130      0.3972      0.3106  9.337000e-01
  12%    23         25-28        29-30         216        115      0.3972      0.3034  9.277000e-01
  10%    25         27-30        31-31         229         60      0.3975      0.3073  9.349000e-01
   5%    47         49-50        51-51         131         63      0.4005      0.3189  9.195000e-01
  10%    46         48-51        52-52         260         60      0.4007      0.3253  9.325000e-01
  30%    11         13-24        25-28         645        216      0.4010      0.3152  9.215000e-01
  10%    45         47-50        51-51         260         63      0.4011      0.3151  9.192000e-01
  20%    42         44-51        52-54         516        179      0.4018      0.3222  9.408000e-01
  20%     2          4-11        12-14         422        192      0.4020      0.3243  9.294000e-01
  15%    47         49-54        55-56         373        103      0.4024      0.3221  9.477000e-01
  40%    32         34-50        51-55        1037        297      0.4029      0.3117  9.384000e-01
  25%    39         41-51        52-54         703        179      0.4032      0.3179  9.404000e-01
  35%    34         36-50        51-54         931        242      0.4048      0.3134  9.355000e-01
  10%    11         13-16        17-17         261         61      0.4055      0.3188  9.271000e-01
  20%    30         32-39        40-42         455        178      0.4071      0.3199  9.316000e-01
  35%     5          7-21        22-25         833        195      0.4073      0.2778  8.646000e-01
  60%    23         25-49        50-56        1478        411      0.4077      0.3085  9.374000e-01
  30%    37         39-50        51-54         757        242      0.4077      0.3200  9.346000e-01
  25%    41         43-53        54-56         703        162      0.4082      0.3337  9.471000e-01
  30%    39         41-52        53-56         763        222      0.4082      0.3269  9.443000e-01
  35%    35         37-51        52-55         939        234      0.4087      0.3238  9.405000e-01
  15%    25         27-32        33-34         349        109      0.4092      0.3317  9.322000e-01
  35%    36         38-52        53-56         940        222      0.4095      0.3296  9.439000e-01
   5%    48         50-51        52-52         129         60      0.4100      0.3332  9.294000e-01
  30%     8         10-21        22-25         681        195      0.4106      0.2806  8.624000e-01
  15%     2           4-9        10-11         303        119      0.4110      0.3269  9.308000e-01
  15%    43         45-50        51-52         387        123      0.4117      0.3141  9.224000e-01
  20%     3          5-12        13-15         437        193      0.4118      0.3249  9.219000e-01
  30%    38         40-51        52-55         761        234      0.4119      0.3252  9.395000e-01
  40%    33         35-51        52-56        1047        282      0.4120      0.3251  9.407000e-01
  20%    43         45-52        53-55         510        174      0.4126      0.3367  9.423000e-01
   5%    28         30-31        32-32         117         60      0.4127      0.3244  9.251000e-01
  12%    45         47-50        51-52         260        123      0.4154      0.3295  9.209000e-01
  10%    23         25-28        29-29         216         58      0.4166      0.3222  9.191000e-01
  25%    11         13-23        24-26         594        153      0.4169      0.3281  8.832000e-01
   5%    51         53-54        55-55         119         55      0.4169      0.3294  9.432000e-01
  12%    35         37-40        41-42         236        120      0.4179      0.3347  9.283000e-01
  12%    36         38-41        42-43         235        129      0.4182      0.3316  9.260000e-01
  15%    26         28-33        34-35         347        106      0.4185      0.3345  9.311000e-01
  15%    45         47-52        53-54         383        119      0.4196      0.3487  9.392000e-01
  20%    44         46-53        54-56         507        162      0.4202      0.3511  9.440000e-01
  12%    26         28-31        32-33         231        116      0.4203      0.3512  9.250000e-01
   5%    27         29-30        31-31         115         60      0.4204      0.3378  9.271000e-01
  15%    32         34-39        40-41         339        116      0.4220      0.3359  9.258000e-01
  15%    19         21-26        27-28         291        114      0.4241      0.3275  9.256000e-01
  20%    11         13-20        21-23         456        138      0.4241      0.3297  8.535000e-01
  15%    15         17-22        23-24         285         99      0.4253      0.2954  8.552000e-01
   5%    41         43-44        45-45         133         63      0.4255      0.3579  9.287000e-01
   5%    26         28-29        30-30         114         57      0.4257      0.3197  9.183000e-01
   5%    44         46-47        48-48         127         66      0.4282      0.3456  9.189000e-01
  12%    32         34-37        38-39         220        119      0.4337      0.3492  9.233000e-01
  12%    27         29-32        33-34         235        109      0.4340      0.3517  9.237000e-01
  10%    49         51-54        55-55         242         55      0.4340      0.3452  9.384000e-01
  10%    35         37-40        41-41         236         58      0.4342      0.3456  9.213000e-01
  15%    13         15-20        21-22         326         90      0.4351      0.3350  8.448000e-01
